73/1667 correctness_ratio: 1/3 true_positive_ratio: 1/1 total_correct_ratio: 156/282 = 55.319148936% 1_Handshaking_Handshaking_1_158.jpg
74/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 157/283 = 55.477031802% 1_Handshaking_Handshaking_1_209.jpg
75/1667 correctness_ratio: 0/2 true_positive_ratio: 0/1 total_correct_ratio: 157/285 = 55.087719298% 1_Handshaking_Handshaking_1_313.jpg
76/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 158/286 = 55.244755245% 1_Handshaking_Handshaking_1_457.jpg
77/1667 correctness_ratio: 1/2 true_positive_ratio: 1/3 total_correct_ratio: 159/288 = 55.208333333% 10_People_Marching_People_Marching_2_430.jpg
78/1667 correctness_ratio: 3/3 true_positive_ratio: 3/3 total_correct_ratio: 162/291 = 55.670103093% 10_People_Marching_People_Marching_2_822.jpg
79/1667 correctness_ratio: 2/4 true_positive_ratio: 2/2 total_correct_ratio: 164/295 = 55.593220339% 10_People_Marching_People_Marching_2_307.jpg
80/1667 correctness_ratio: 1/11 true_positive_ratio: 1/1 total_correct_ratio: 165/306 = 53.921568627% 10_People_Marching_People_Marching_2_40.jpg
81/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 165/307 = 53.745928339% 10_People_Marching_People_Marching_2_1046.jpg
82/1667 correctness_ratio: 0/4 true_positive_ratio: 0/0 total_correct_ratio: 165/311 = 53.054662379% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_524.jpg
83/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 165/312 = 52.884615385% 10_People_Marching_People_Marching_2_316.jpg
84/1667 correctness_ratio: 0/2 true_positive_ratio: 0/0 total_correct_ratio: 165/314 = 52.547770701% 10_People_Marching_People_Marching_2_277.jpg
85/1667 correctness_ratio: 1/9 true_positive_ratio: 1/1 total_correct_ratio: 166/323 = 51.393188854% 10_People_Marching_People_Marching_2_256.jpg
86/1667 correctness_ratio: 9/11 true_positive_ratio: 9/9 total_correct_ratio: 175/334 = 52.395209581% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_368.jpg
87/1667 correctness_ratio: 0/3 true_positive_ratio: 0/0 total_correct_ratio: 175/337 = 51.928783383% 10_People_Marching_People_Marching_2_668.jpg
88/1667 correctness_ratio: 0/8 true_positive_ratio: 0/0 total_correct_ratio: 175/345 = 50.724637681% 10_People_Marching_People_Marching_2_60.jpg
89/1667 correctness_ratio: 0/6 true_positive_ratio: 0/0 total_correct_ratio: 175/351 = 49.857549858% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_716.jpg
90/1667 correctness_ratio: 0/3 true_positive_ratio: 0/0 total_correct_ratio: 175/354 = 49.435028249% 10_People_Marching_People_Marching_2_2.jpg
91/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 175/355 = 49.295774648% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_1020.jpg
92/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 176/356 = 49.438202247% 10_People_Marching_People_Marching_2_638.jpg
93/1667 correctness_ratio: 8/15 true_positive_ratio: 8/11 total_correct_ratio: 184/371 = 49.595687332% 10_People_Marching_People_Marching_2_401.jpg
94/1667 correctness_ratio: 2/6 true_positive_ratio: 2/3 total_correct_ratio: 186/377 = 49.336870027% 10_People_Marching_People_Marching_2_793.jpg
95/1667 correctness_ratio: 2/8 true_positive_ratio: 2/2 total_correct_ratio: 188/385 = 48.831168831% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_848.jpg
96/1667 correctness_ratio: 2/3 true_positive_ratio: 2/3 total_correct_ratio: 190/388 = 48.969072165% 10_People_Marching_People_Marching_2_514.jpg
97/1667 correctness_ratio: 16/16 true_positive_ratio: 16/16 total_correct_ratio: 206/404 = 50.990099010% 10_People_Marching_People_Marching_2_131.jpg
98/1667 correctness_ratio: 0/5 true_positive_ratio: 0/1 total_correct_ratio: 206/409 = 50.366748166% 10_People_Marching_People_Marching_2_27.jpg
99/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 207/410 = 50.487804878% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_552.jpg
100/1667 correctness_ratio: 0/1 true_positive_ratio: 0/0 total_correct_ratio: 207/411 = 50.364963504% 10_People_Marching_People_Marching_2_395.jpg
101/1667 correctness_ratio: 5/6 true_positive_ratio: 5/6 total_correct_ratio: 212/417 = 50.839328537% 10_People_Marching_People_Marching_10_People_Marching_People_Marching_10_240.jpg
102/1667 correctness_ratio: 1/9 true_positive_ratio: 1/1 total_correct_ratio: 213/426 = 50.000000000% 10_People_Marching_People_Marching_2_239.jpg
103/1667 correctness_ratio: 4/9 true_positive_ratio: 4/4 total_correct_ratio: 217/435 = 49.885057471% 11_Meeting_Meeting_11_Meeting_Meeting_11_529.jpg
104/1667 correctness_ratio: 0/2 true_positive_ratio: 0/3 total_correct_ratio: 217/437 = 49.656750572% 11_Meeting_Meeting_11_Meeting_Meeting_11_441.jpg
105/1667 correctness_ratio: 4/6 true_positive_ratio: 4/4 total_correct_ratio: 221/443 = 49.887133183% 11_Meeting_Meeting_11_Meeting_Meeting_11_102.jpg
106/1667 correctness_ratio: 1/2 true_positive_ratio: 1/2 total_correct_ratio: 222/445 = 49.887640449% 11_Meeting_Meeting_11_Meeting_Meeting_11_507.jpg
107/1667 correctness_ratio: 0/1 true_positive_ratio: 0/1 total_correct_ratio: 222/446 = 49.775784753% 11_Meeting_Meeting_11_Meeting_Meeting_11_644.jpg
108/1667 correctness_ratio: 2/5 true_positive_ratio: 2/2 total_correct_ratio: 224/451 = 49.667405765% 11_Meeting_Meeting_11_Meeting_Meeting_11_807.jpg
109/1667 correctness_ratio: 3/4 true_positive_ratio: 3/3 total_correct_ratio: 227/455 = 49.890109890% 11_Meeting_Meeting_11_Meeting_Meeting_11_639.jpg
110/1667 correctness_ratio: 1/3 true_positive_ratio: 1/2 total_correct_ratio: 228/458 = 49.781659389% 11_Meeting_Meeting_11_Meeting_Meeting_11_176.jpg
111/1667 correctness_ratio: 7/9 true_positive_ratio: 7/10 total_correct_ratio: 235/467 = 50.321199143% 11_Meeting_Meeting_11_Meeting_Meeting_11_702.jpg
112/1667 correctness_ratio: 0/5 true_positive_ratio: 0/0 total_correct_ratio: 235/472 = 49.788135593% 11_Meeting_Meeting_11_Meeting_Meeting_11_385.jpg
113/1667 correctness_ratio: 1/2 true_positive_ratio: 1/1 total_correct_ratio: 236/474 = 49.789029536% 11_Meeting_Meeting_11_Meeting_Meeting_11_375.jpg
114/1667 correctness_ratio: 1/6 true_positive_ratio: 1/1 total_correct_ratio: 237/480 = 49.375000000% 11_Meeting_Meeting_11_Meeting_Meeting_11_560.jpg
115/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 238/481 = 49.480249480% 11_Meeting_Meeting_11_Meeting_Meeting_11_663.jpg
116/1667 correctness_ratio: 4/5 true_positive_ratio: 4/5 total_correct_ratio: 242/486 = 49.794238683% 11_Meeting_Meeting_11_Meeting_Meeting_11_339.jpg
117/1667 correctness_ratio: 1/5 true_positive_ratio: 1/1 total_correct_ratio: 243/491 = 49.490835031% 11_Meeting_Meeting_11_Meeting_Meeting_11_206.jpg
118/1667 correctness_ratio: 6/6 true_positive_ratio: 6/6 total_correct_ratio: 249/497 = 50.100603622% 11_Meeting_Meeting_11_Meeting_Meeting_11_406.jpg
119/1667 correctness_ratio: 5/9 true_positive_ratio: 5/5 total_correct_ratio: 254/506 = 50.197628458% 11_Meeting_Meeting_11_Meeting_Meeting_11_71.jpg
120/1667 correctness_ratio: 1/1 true_positive_ratio: 1/1 total_correct_ratio: 255/507 = 50.295857988% 11_Meeting_Meeting_11_Meeting_Meeting_11_108.jpg
121/1667 correctness_ratio: 2/4 true_positive_ratio: 2/2 total_correct_ratio: 257/511 = 50.293542074% 11_Meeting_Meeting_11_Meeting_Meeting_11_573.jpg
122/1667 correctness_ratio: 0/2 true_positive_ratio: 0/0 total_correct_ratio: 257/513 = 50.097465887% 11_Meeting_Meeting_11_Meeting_Meeting_11_223.jpg
123/1667 correctness_ratio: 3/3 true_positive_ratio: 3/3 total_correct_ratio: 260/516 = 50.387596899% 11_Meeting_Meeting_11_Meeting_Meeting_11_633.jpg
124/1667 correctness_ratio: 6/7 true_positive_ratio: 6/7 total_correct_ratio: 266/523 = 50.860420650% 11_Meeting_Meeting_11_Meeting_Meeting_11_250.jpg
